p,fold,dice,iou,recall,fpps
1.0,0,0.8400118667077637,0.8266065991666312,0.7157603246418175,0.3063940092165898
1.0,1,0.815212448764392,0.8017913082583296,0.700573967695455,0.3347350230414747
1.0,2,0.797686366541116,0.7841403903020122,0.7140659977823678,0.3644585253456221
1.5,0,0.8249327244845084,0.8112627855701694,0.7098632945473774,0.3299539170506912
1.5,1,0.8105979396543406,0.7965073753668391,0.7027898194993358,0.34095622119815666
1.5,2,0.820671765277237,0.8067632168928052,0.7134699126421579,0.3352534562211981
2.0,0,0.807878307565686,0.7943807985139576,0.7243757559256981,0.354147465437788
2.0,1,0.7943967142820432,0.7808179938686005,0.7251965470003282,0.38629032258064516
2.0,2,0.7993852220089906,0.785588895513075,0.7226359676332237,0.35000000000000003
2.5,0,0.8078213584642899,0.7940901615338688,0.7151554930226319,0.3722926267281106
2.5,1,0.7790749804638156,0.7654880175094451,0.7191613442563326,0.3988479262672811
2.5,2,0.794635370869187,0.7811774756564114,0.7273510419963223,0.3774193548387097
3.0,0,0.7994509197981942,0.7858973373321605,0.7142790237632056,0.3641705069124424
3.0,1,0.8064684218978683,0.792855747748569,0.7101579047465342,0.3484447004608295
3.0,2,0.8030072644912316,0.7894279954351037,0.7252966740174822,0.37304147465437787
4.0,0,0.6939679922535256,0.6794016984158038,0.7515853369483477,0.6353110599078341
4.0,1,0.807740099546269,0.7939995656584292,0.7179757142515619,0.37321428571428567
4.0,2,0.8095977818127095,0.7958586295038595,0.7268124813764673,0.35921658986175115
